1064.88049316	2.94117641
1064.88452148	3.27450991
1064.88867188	3.41176462
1064.89294434	3.23529410
1064.89294434	3.72549009
1064.89672852	3.82352948
1064.90087891	2.86274505
1064.90502930	2.58823538
1064.90502930	2.62745094
1064.90893555	2.76470590
1064.91345215	2.19607854
1064.91723633	1.76470590
1064.92138672	1.41176474
1064.92138672	1.39215684
1064.92541504	1.19607842
1064.92944336	0.92156863
1064.93383789	0.84313726
1064.93383789	1.29411769
1064.93774414	1.50980389
1064.94189453	1.13725495
1064.94604492	1.33333337
1064.95007324	1.33333337
1064.95007324	1.47058821
1064.95410156	1.33333337
1064.95825195	1.41176474
1064.96264648	1.58823526
1064.96264648	1.19607842
1064.96643066	1.17647064
1064.97045898	1.23529410
1064.97460938	2.13725495
1064.97888184	1.68627453
1064.98278809	1.41176474
1064.98706055	1.21568632
1064.99108887	1.13725495
1064.99108887	1.62745094
1064.99511719	1.96078432
1064.99926758	1.78431368
1065.00329590	1.64705884
1065.00732422	1.11764705
1065.01147461	0.72549021
1065.01550293	0.64705884
1065.01977539	0.90196079
1065.01977539	0.84313726
1065.02392578	0.92156863
1065.02783203	1.17647064
1065.03198242	1.27450979
1065.03588867	1.17647064
1065.04003906	1.54901958
1065.04418945	1.43137252
1065.04833984	1.52941179
1065.04833984	1.25490201
1065.05236816	1.21568632
1065.05639648	0.80392158
1065.06054688	0.70588237
1065.06481934	0.01960784
1065.06872559	0.13725491
1065.07299805	0.41176471
1065.07690430	0.86274511
1065.07690430	1.84313726
1065.08105469	2.98039222
1065.08508301	4.03921556
1065.08923340	4.98039198
1065.09338379	4.98039198
1065.09753418	4.94117641
1065.10156250	4.54901981
1065.10571289	4.50980377
1065.10571289	3.86274505
1065.10986328	2.72549009
1065.11401367	1.27450979
1065.11804199	0.76470590
1065.11804199	0.54901963
1065.12194824	0.19607843
1065.12622070	0.39215687
1065.13049316	0.62745100
1065.13439941	0.88235295
1065.13439941	1.19607842
1065.13854980	1.31372547
1065.14257813	1.21568632
1065.14709473	1.62745094
1065.14709473	1.66666663
1065.15075684	1.76470590
1065.15478516	2.27450991
